1	弓箭兵	101	70	1	8	10	1
2	刀盾兵	102	100	1	8	10	1
3	弓箭兵	101	150	1	5	12	0.8
3	刀盾兵	102	170	1	5	12	0.8
4	弓箭兵	101	120	1	4	10	1.2
4	刀盾兵	102	140	1	4	10	1.2
4	火炮兵	103	200	1	2	10	1
5	弓箭兵	101	180	1	7	5	1
5	刀盾兵	102	200	1	7	5	1
5	火炮兵	103	250	1	2	10	0.8
6	弓箭兵	101	220	1	8	10	1
6	刀盾兵	102	240	1	8	10	1
6	火炮兵	103	260	1	1	10	1.2
7	火炮兵	103	350	1	8	10	1
7	加强火炮兵	104	450	1	8	10	0.8
8	加强火炮兵	104	450	1	8	5	0.8
8	加强火炮兵	104	450	1	3	15	1
8	小魔像	105	400	1	1	10	1.5
9	加强火炮兵	104	600	1	7	25	1
9	小魔像	105	500	1	3	25	1.5
10	加强火炮兵	104	600	1	8	5	1
10	小魔像	105	550	1	6	5	1.5
10	大魔像	106	700	1	2	10	1
11	小魔像	105	600	1	8	5	1.5
11	大魔像	106	700	1	6	10	1
11	远古魔像	107	800	1	2	15	1.2
12	大魔像	106	700	1	8	5	1
12	远古魔像	107	800	1	6	5	1.2
12	小狼	108	800	1	4	15	1.5
13	远古魔像	107	800	1	8	10	1.2
13	小狼	108	800	1	6	20	1.5
13	巨狼	109	1000	1	6	20	1.2
14	远古魔像	107	900	1	8	15	1.2
14	小狼	108	900	1	6	20	1.5
14	巨狼	109	1200	1	6	20	1.2
15	大魔像	106	950	1	8	10	1
15	远古魔像	107	1000	1	3	10	1.2
15	小狼	108	1000	1	3	10	1.5
15	巨狼	109	2500	1	2	20	1.2


